arg1,arg2,word,sentence,verb_idx,label
такой,,атмосфера,0 06 а при 40 м сек 0 085 атмосферы Починка цементных полов ,5 ,0
такой,,атмосфера,11.6 Не допускается заполнение СУГ резервуаров путем снижения в них давления газа за счет сброса газовой фазы в атмосферу 11.7 ,5 ,0
такой,европейский,атмосфера,13 Декабрь 1990 Нам приходится напомнить нашему читателю что мы все еще находимся в параметрах девятой части романа точнее в самолете Галакси-Корбах который уже завершил ночной перелет через Атлантический океан и сейчас все глубже внедряется в атмосферу европейского континента Время как известно при таком движении немного пожирается астрономией и самолет снявшийся из Нью-Йорка в полночный час подходит к Москве уже ввечеру как будто летел не десять часов а все восемнадцать ,2 ,0
такой,,атмосфера,14 декабря Вечер Плисецкой по ТВ совершенно не передает атмосферу триумфа который был в театре Антре смазано она появилась точно под музыку в глубине сцены весь зал вскочил и орал минут десять а на ТВ она выползла откуда-то сбоку и тут же начала танцевать какая-то пара ,4 ,1
такой,старинный,атмосфера,17 Двигатель 18 Оптическое явление в атмосфере 19 Старинное здание в Москве интересное в инженерном отношении ,1 ,0
такой,,атмосфера,18 31 30 Концентрация угарного газа в атмосфере кабины стала смертельной Корпус кабины треснул горячие газы вырывались с громким свистом наружу ,1 ,0
такой,невиданный,атмосфера,18 октября был отстранен Хонеккер 9 ноября в атмосфере невиданного энтузиазма пала Берлинская стена Когда ранним утром от советского посла мне стало известно что власти ГДР открыли все пропускные пункты и не стали чинить препятствия для прохода я сказал что они поступили правильно ,4 ,1
такой,,атмосфера,1 Расчет величины индивидуального экологического риска для населения региона а также величины экологического риска обусловленного химическим загрязнением приземного воздуха 2 Оценка величины техногенного риска на промышленных объектах определяющего масштабы и вероятность химического загрязнения атмосферы и гидросферы 3 Оценка влияния трансграничного атмосферного переноса загрязняющих веществ на величину экологического риска в регионе ,1 ,0
доверительный,,атмосфера,24 25 мая в Гаване состоялся очередной раунд российско-кубинских межмидовских консультаций на уровне первых заместителей министров иностранных дел В ходе прошедших в традиционно дружественной и доверительной атмосфере переговоров первого заместителя министра иностранных дел России В И Трубникова с министром иностранных дел Кубы Ф Пересом первым заместителем министра Ф Ремиресом другими руководителями кубинского внешнеполитического ведомства а также заведующим международным отделом ЦК Компартии Кубы Балагером стороны с удовлетворением констатировали совпадение или близость позиций по ключевым проблемам современности заявили о решимости объединить усилия в целях эффективного прот иводействия новым вызовам и угрозам на основе строгого соблюдения Устава ООН и норм международного права ,4 ,1
способный,,атмосфера,2 в атмосфере способен повлиять на климат планеты Шлаки же не только влияют отрицательно на состав атмосферы но и место занимают десятки и сотни квадратных километров во всем мире ,2 ,0
способный,основный,атмосфера,2 за счет изменения концентрации данного парникового газа в атмосфере Основным парниковым газом и с точки зрения его влияния на изменение климата более 60 и с точки зрения естественных и антропогенных потоков в атмосфере является диоксид углерода ,1 ,0
способный,,атмосфера,2 которые не могут быть связаны изреженной фрагментарной естественной растительностью и в условиях резкого преобладания испарения над осадками попадают в атмосферу Поэтому формирование участков депонирования углерода одна из наиболее острых проблем охраны окружающей среды в этом регионе ,1 ,0
защитный,,атмосфера,2 лазерным лучом и высокотемпературный синтез в расплаве в защитной атмосфере фтора изготовление ионных проводников 2 ,1 ,0
защитный,,атмосфера,2 служит регулятором теплового энергетического баланса на поверхности Земли увеличение его содержания в атмосфере приводит к возникновению парникового эффекта что может привести к 2050 г к возрастанию уровня Мирового океана на 2 метра выше нынешнего и привести к затоплению низменных территорий где проживает около трети населения мира В водную среду обитания человека ежегодно сбрасывается огромное количество промышленных и сточных вод до 600 млрд тонн содержащих до 300 млн тонн железа 2 3 млн тонн свинца 7000 тонн ртути 6000 тонн фосфора и других вредных ,1 ,0
защитный,,атмосфера,31 и нет уверенности что принимаемые меры действительно скажутся на темпах глобального потепления Неудивительно что идея регулировать выбросы парниковых газов особенно СОг так как это делается в отношении химических загрязнителей атмосферы вызывает все более серьезные возражения в промышленных и политических кругах а нынешний президент США Дж Буш открыто выражает свою оппозицию Киотскому протоколу ,1 ,0
защитный,,атмосфера,33 6 Она также служит океаническим блоком в совместной модели общей циркуляции атмосферы и океана разработанной ИВМ РАН Однако для описания так называемых синоптических вихрей в океане и их вклада в крупномасштабную циркуляцию необходимо проводить расчеты при разрешении не менее 1 2 ,1 ,0
защитный,,атмосфера,3 В качестве более эффективного горючего следовало бы применить гремучий газ смесь водорода и кислорода каждый килограмм которого дает более 1 333000 В позднейшем своем письме ко мне 23 сентября 1926 г Гансвиндт пишет что его корабль должен подниматься в верхние слои атмосферы не силой реакции а при помощи аэроплана при спуске же он предполагает планирующий полет также без расхода энергии Наконец в письме ко мне от 12 октября 1926 г Гансвиндт поясняет что а запасы динамитных патронов находятся в двух боковых верхних цилиндрах вращающихся на подобие револьверных барабанов ,1 ,0
богатый,отдельный,атмосфера,3 Для атмосферы Диккенс и Достоевский богаты атмосферами 4 Для отдельной сцены ,4 ,1
