arg1,arg2,word,sentence,verb_idx,label
греческий,,архитектор,100 лучших фото из этой серии выставлены в Доме архитектора до 20 октября Неординарных художников представляющих свои ,1 ,0
греческий,,архитектор,10 Столпянский П Н Старый Петербург и его исторический план Доклад читанный в императорском С Петербургском обществе архитекторов 2 апреля 1913 года СПб ,1 ,0
один,,архитектор,111 где впоследствии был похоронен первый архитектор Петербурга Д Трезини 112 ,1 ,0
один,,архитектор,12 Рынок бывший называемый Трезин против Пенко вых Анбаров Назван потому что близко ево был первоначалнаго Архитектора здешняго Андрея Трезина Двор И хотя ныне онаго Рынка и нет однако лавочки погребные хлебные и колашные скамьи имеются и квасы продаются а при том и извошчичья площадка имеется ,1 ,0
один,,архитектор,134 р Первым архитектором был Квашнин Дмитрий Дмитриевич с 1944 по 1952 год ,2 ,1
один,региональный,архитектор,14 Соединение Нептуна с Луной В природе Нептун второй после Луны ведущий дирижёр и архитектор региональных водных стихий паводков наводнений цунами Главные рекомендации дня дозированные физические и духовные нагрузки ,2 ,1
старый,,архитектор,14 Тем кто знал Федора Васильевича Валицкого поверхностно старый архитектор казался человеком крутого нрава упрямым болезненно самолюбивым словом малоприятным в общении Немногочисленные же друзья Валицкого единодушно сходясь во мнении что характерец у Федора трудный считали его однако человеком талантливым и честным но вместе с тем самым большим врагом себе ,1 ,0
старый,,архитектор,15 Проект смелый масштабный перспективный свидетельствующий о том что его авторы архитектор Павел Юльевич Сюзор и купец Клейбер разбирались как в хозяйственных делах столицы так и в вопросах политической Самой городской управой признавалось что нынешнее здание хотя и красивой наружности в архитектурном отношении никуда не годится ,1 ,0
старый,,архитектор,17 июня 1889 года художника не стало Архитектор Ф Шехтель друг и товарищ Николая Чехова узнав о его смерти писая Теперь когда его уже нет более остается лишь вспомянуть да и почаще вспоминать его детски чистую душу к которой ничего грязного не приставало несмотря на всю близость массы грязи около которой приходится тереться Умер Николай и в жизни писателя Чехова брата и друга образовалась брешь пустота ,1 ,0
старый,,архитектор,1922 крупнейший русский математик конца начала столетия специалист в области теории чисел математического анализа и теории вероятностей цепи Маркова известны всем кто хоть немного интересовался теорией вероятностей 125 лет назад 16 июня 1881 года в селе Нагаево Тульской губернии в семье архитектора родилась Наталия Сергеевна Гончарова ум 1962 двоюродная правнучка жены Пушкина Наталии Николаевны Гончаровой талантливая художница-авангардистка сценограф и прикладник ,2 ,1
главный,,архитектор,1953 на должность главного архитектора назначен Горшенев Юрий Константинович С марта по май ,2 ,1
главный,,архитектор,1955 года исполнял обязанности а с мая 1955 по август 1976 года работал в должности главного архитектора Верещагин Константин Александрович С 5 ,2 ,1
